
﻿station_id,station_name,exit_number,lat,lon
14,영등포구청역,3,37.5267466,126.8967693
14,영등포구청역,4,37.5267246,126.8971051
14,영등포구청역,5,37.5247487,126.8965792
14,영등포구청역,6,37.5238985,126.8961056
14,영등포구청역,7,37.5245129,126.8960947
15,여의도역,1,37.5215226,126.9237311
15,여의도역,2,37.5219647,126.9234638
15,여의도역,3,37.5226942,126.9238114
15,여의도역,4,37.52205,126.9245415
15,여의도역,5,37.5218241,126.9247465
15,여의도역,6,37.5212371,126.9243216
16,공덕역,1,37.5438759,126.9505489
16,공덕역,2,37.5442609,126.9507742
16,공덕역,3,37.545282,126.9516352
16,공덕역,4,37.5451136,126.9520528
16,공덕역,5,37.5442271,126.9516835
16,공덕역,6,37.5436202,126.9526066
16,공덕역,7,37.5430657,126.9526329
16,공덕역,8,37.5434208,126.9508707
16,공덕역,9,37.5427758,126.9516731
17,이대역,1,37.5568458,126.9456142
17,이대역,2,37.5570112,126.9458014
17,이대역,3,37.5570497,126.9459597
17,이대역,4,37.5568719,126.9461923
17,이대역,5,37.5563625,126.9459536
17,이대역,6,37.5566467,126.9454723
18,합정역,1,37.5505454,126.9149721
18,합정역,2,37.5510084,126.9156807
18,합정역,3,37.5507869,126.915912
18,합정역,4,37.5502054,126.915153
18,합정역,5,37.5494932,126.914172
18,합정역,6,37.5490428,126.9139953
18,합정역,7,37.5487711,126.913624
18,합정역,8,37.5494092,126.9129173
18,합정역,9,37.5497901,126.913375
18,합정역,10,37.5498936,126.9139171
19,종각역,1,37.5703676,126.9824446
19,종각역,2,37.5709039,126.9828605
19,종각역,3,37.5703588,126.9838797
19,종각역,3-1,37.5709068,126.9832021
19,종각역,4,37.5700754,126.9838288
19,종각역,5,37.569798,126.9825908
19,종각역,6,37.5699147,126.9823785
19,종각역,7,37.5703456,126.9844474
19,종각역,8,37.5703439,126.9847337
19,종각역,9,37.5700753,126.9843537
19,종각역,10,37.5700713,126.9846457
19,종각역,11,37.5703302,126.9858402
19,종각역,12,37.5700508,126.985847
20,시청역,1,37.564607,126.9767249
20,시청역,2,37.5657675,126.9768633
20,시청역,3,37.5659896,126.9768675
20,시청역,4,37.5668639,126.9773672
20,시청역,5,37.5661121,126.9774322
20,시청역,6,37.5648345,126.9776959
20,시청역,7,37.5642854,126.977343
20,시청역,8,37.5637124,126.9764756
20,시청역,9,37.5628918,126.9740532
20,시청역,10,37.5633133,126.9739922
20,시청역,11,37.5638321,126.9756186
20,시청역,12,37.5642244,126.9763923
